,CIDADE,TEMPERATURA MÉDIA,ALT(M),LAT (º DEC.),LONG (ºdec),MÊS,ANO
186,Barra,29.6,407.5,11.1,43.1,11,2018
187,Barra,28.7,407.5,11.1,43.1,10,2000
188,Barra,26.9,407.5,11.1,43.1,10,1999
189,Barra,25.6,407.5,11.1,43.1,2,2007
190,Barra,26.6,407.5,11.1,43.1,1,2005
191,Barra,27.6,407.5,11.1,43.1,1,2008
192,Barra,25.7,407.5,11.1,43.1,4,2009
193,Barra,25.7,407.5,11.1,43.1,5,2004
194,Barra,27.5,407.5,11.1,43.1,8,2018
195,Barra,26.8,407.5,11.1,43.1,12,2007
196,Barra,25.9,407.5,11.1,43.1,3,2011
197,Barra,27.5,407.5,11.1,43.1,3,2014
198,Barra,26.7,407.5,11.1,43.1,5,2015
199,Barra,25.2,407.5,11.1,43.1,8,2008
200,Barra,26.6,407.5,11.1,43.1,5,2019
201,Barra,29.1,407.5,11.1,43.1,9,2015
202,Barra,28.3,407.5,11.1,43.1,11,2001
203,Barra,28.7,407.5,11.1,43.1,12,2018
204,Barra,27.8,407.5,11.1,43.1,9,2005
205,Barra,27.4,407.5,11.1,43.1,5,2012
206,Barra,25.4,407.5,11.1,43.1,5,2008
207,Barra,28.6,407.5,11.1,43.1,11,2008
208,Barra,26.5,407.5,11.1,43.1,3,2005
209,Barra,27.4,407.5,11.1,43.1,12,2001
210,Barra,25.7,407.5,11.1,43.1,7,2002
211,Barra,25.9,407.5,11.1,43.1,8,2011
212,Barra,28.8,407.5,11.1,43.1,9,2009
213,Barra,30.2,407.5,11.1,43.1,10,2018
214,Barra,29.3,407.5,11.1,43.1,10,2005
215,Barra,25.3,407.5,11.1,43.1,7,2014
216,Barra,30.6,407.5,11.1,43.1,11,2015
217,Barra,28.0,407.5,11.1,43.1,5,2017
218,Barra,28.2,407.5,11.1,43.1,9,2016
219,Barra,25.3,407.5,11.1,43.1,6,2014
220,Barra,26.0,407.5,11.1,43.1,8,2009
221,Barra,25.7,407.5,11.1,43.1,8,2006
222,Barra,29.3,407.5,11.1,43.1,10,2002
223,Barra,26.1,407.5,11.1,43.1,4,2005
224,Barra,28.2,407.5,11.1,43.1,9,2014
225,Barra,24.9,407.5,11.1,43.1,7,2010
226,Barra,24.8,407.5,11.1,43.1,7,2009
227,Barra,29.1,407.5,11.1,43.1,9,2018
228,Barra,26.6,407.5,11.1,43.1,1,2003
229,Barra,27.2,407.5,11.1,43.1,2,2009
230,Barra,26.7,407.5,11.1,43.1,8,2017
231,Barra,27.8,407.5,11.1,43.1,2,2006
232,Barra,24.1,407.5,11.1,43.1,7,2004
233,Barra,25.5,407.5,11.1,43.1,4,2008
234,Barra,26.7,407.5,11.1,43.1,3,2019
235,Barra,28.0,407.5,11.1,43.1,1,2012
236,Barra,26.7,407.5,11.1,43.1,2,2018
237,Barra,25.8,407.5,11.1,43.1,2,2004
238,Barra,27.0,407.5,11.1,43.1,4,1999
239,Barra,26.0,407.5,11.1,43.1,2,2000
240,Barra,26.4,407.5,11.1,43.1,9,2011
241,Barra,26.7,407.5,11.1,43.1,4,2019
242,Barra,25.7,407.5,11.1,43.1,8,2002
243,Barra,28.4,407.5,11.1,43.1,1,2007
244,Barra,27.4,407.5,11.1,43.1,1,1999
245,Barra,27.7,407.5,11.1,43.1,9,2012
246,Barra,27.8,407.5,11.1,43.1,8,2019
247,Barra,26.9,407.5,11.1,43.1,5,2001
248,Barra,26.3,407.5,11.1,43.1,8,2015
249,Barra,29.1,407.5,11.1,43.1,10,2010
250,Barra,25.7,407.5,11.1,43.1,1,2004
251,Barra,24.0,407.5,11.1,43.1,7,2006
252,Barra,29.6,407.5,11.1,43.1,11,2019
253,Barra,27.5,407.5,11.1,43.1,12,2006
254,Barra,27.5,407.5,11.1,43.1,3,2003
255,Barra,26.9,407.5,11.1,43.1,2,2008
256,Barra,26.6,407.5,11.1,43.1,1,2011
257,Barra,28.2,407.5,11.1,43.1,10,2006
258,Barra,28.2,407.5,11.1,43.1,11,2004
259,Barra,27.1,407.5,11.1,43.1,2,2015
260,Barra,28.4,407.5,11.1,43.1,12,2016
261,Barra,28.7,407.5,11.1,43.1,1,2015
262,Barra,26.1,407.5,11.1,43.1,8,2014
263,Barra,26.2,407.5,11.1,43.1,5,2014
264,Barra,24.8,407.5,11.1,43.1,8,2007
265,Barra,25.7,407.5,11.1,43.1,6,1999
266,Barra,24.5,407.5,11.1,43.1,7,2017
267,Barra,24.2,407.5,11.1,43.1,6,2004
268,Barra,29.3,407.5,11.1,43.1,10,2003
269,Barra,25.1,407.5,11.1,43.1,8,2012
270,Barra,24.8,407.5,11.1,43.1,5,2005
271,Barra,25.6,407.5,11.1,43.1,12,2000
272,Barra,29.6,407.5,11.1,43.1,2,2013
273,Barra,25.0,407.5,11.1,43.1,5,2006
274,Barra,26.2,407.5,11.1,43.1,1,2016
275,Barra,27.6,407.5,11.1,43.1,9,2003
276,Barra,28.0,407.5,11.1,43.1,12,2004
277,Barra,25.3,407.5,11.1,43.1,4,2006
278,Barra,28.4,407.5,11.1,43.1,10,2001
279,Barra,27.0,407.5,11.1,43.1,2,2011
280,Barra,28.5,407.5,11.1,43.1,11,2017
281,Barra,26.1,407.5,11.1,43.1,2,2005
282,Barra,24.8,407.5,11.1,43.1,6,2005
283,Barra,26.4,407.5,11.1,43.1,4,2010
284,Barra,26.1,407.5,11.1,43.1,12,2008
285,Barra,25.0,407.5,11.1,43.1,7,2001
286,Barra,26.9,407.5,11.1,43.1,9,1999
287,Barra,24.9,407.5,11.1,43.1,6,2003
288,Barra,26.1,407.5,11.1,43.1,4,2011
289,Barra,26.8,407.5,11.1,43.1,12,2014
290,Barra,23.6,407.5,11.1,43.1,6,2008
291,Barra,28.2,407.5,11.1,43.1,12,2015
292,Barra,27.0,407.5,11.1,43.1,4,2018
293,Barra,25.9,407.5,11.1,43.1,3,2008
294,Barra,28.5,407.5,11.1,43.1,11,2013
295,Barra,25.1,407.5,11.1,43.1,7,2007
296,Barra,27.7,407.5,11.1,43.1,11,2002
297,Barra,28.8,407.5,11.1,43.1,1,2018
298,Barra,25.0,407.5,11.1,43.1,8,2001
299,Barra,24.9,407.5,11.1,43.1,6,2000
300,Barra,27.0,407.5,11.1,43.1,5,2010
301,Barra,27.2,407.5,11.1,43.1,3,2002
302,Barra,27.5,407.5,11.1,43.1,3,2017
303,Barra,26.8,407.5,11.1,43.1,9,2004
304,Barra,26.2,407.5,11.1,43.1,3,2006
305,Barra,25.5,407.5,11.1,43.1,12,1999
306,Barra,28.7,407.5,11.1,43.1,12,2012
307,Barra,28.7,407.5,11.1,43.1,10,2007
308,Barra,24.6,407.5,11.1,43.1,7,2005
309,Barra,28.6,407.5,11.1,43.1,3,2013
310,Barra,27.3,407.5,11.1,43.1,12,2002
311,Barra,26.4,407.5,11.1,43.1,4,2002
312,Barra,25.8,407.5,11.1,43.1,3,2000
313,Barra,25.1,407.5,11.1,43.1,6,2011
314,Barra,27.8,407.5,11.1,43.1,2,2017
315,Barra,26.1,407.5,11.1,43.1,5,2007
316,Barra,28.7,407.5,11.1,43.1,11,2007
317,Barra,26.9,407.5,11.1,43.1,3,2018
318,Barra,25.5,407.5,11.1,43.1,7,2016
319,Barra,26.6,407.5,11.1,43.1,6,2017
320,Barra,26.0,407.5,11.1,43.1,6,2015
321,Barra,30.0,407.5,11.1,43.1,10,2017
322,Barra,24.5,407.5,11.1,43.1,7,1999
323,Barra,28.0,407.5,11.1,43.1,9,2001
324,Barra,28.8,407.5,11.1,43.1,1,2006
325,Barra,26.0,407.5,11.1,43.1,5,1999
326,Barra,27.9,407.5,11.1,43.1,5,2013
327,Barra,25.3,407.5,11.1,43.1,7,2018
328,Barra,26.9,407.5,11.1,43.1,3,2009
329,Barra,27.3,407.5,11.1,43.1,2,2012
330,Barra,27.8,407.5,11.1,43.1,2,2016
331,Barra,26.7,407.5,11.1,43.1,6,2016
332,Barra,23.5,407.5,11.1,43.1,6,2006
333,Barra,27.1,407.5,11.1,43.1,2,2014
334,Barra,28.3,407.5,11.1,43.1,11,2016
335,Barra,27.3,407.5,11.1,43.1,2,2001
336,Barra,26.5,407.5,11.1,43.1,4,2001
337,Barra,27.6,407.5,11.1,43.1,1,2013
338,Barra,25.1,407.5,11.1,43.1,5,2009
339,Barra,27.6,407.5,11.1,43.1,1,2014
340,Barra,24.5,407.5,11.1,43.1,6,2007
341,Barra,27.2,407.5,11.1,43.1,11,2012
342,Barra,28.6,407.5,11.1,43.1,4,2016
343,Barra,28.2,407.5,11.1,43.1,10,2011
344,Barra,26.9,407.5,11.1,43.1,3,2010
345,Barra,26.3,407.5,11.1,43.1,5,2003
346,Barra,26.0,407.5,11.1,43.1,6,2010
347,Barra,26.4,407.5,11.1,43.1,6,2019
348,Barra,25.7,407.5,11.1,43.1,8,2004
349,Barra,26.6,407.5,11.1,43.1,12,2005
350,Barra,24.5,407.5,11.1,43.1,7,2003
351,Barra,28.8,407.5,11.1,43.1,11,2003
352,Barra,26.8,407.5,11.1,43.1,6,2013
353,Barra,27.9,407.5,11.1,43.1,4,2015
354,Barreiras,28.0,447.5,12.2,45.0,12,2019
355,Barreiras,29.8,447.5,12.2,45.0,10,2017
356,Barreiras,21.4,447.5,12.2,45.0,6,2006
357,Barreiras,26.3,447.5,12.2,45.0,3,2013
358,Barreiras,26.2,447.5,12.2,45.0,1,2014
359,Barreiras,24.7,447.5,12.2,45.0,5,2003
360,Barreiras,25.7,447.5,12.2,45.0,3,2009
361,Barreiras,24.5,447.5,12.2,45.0,3,2004
362,Barreiras,28.5,447.5,12.2,45.0,10,2013
363,Barreiras,24.4,447.5,12.2,45.0,4,2008
364,Barreiras,28.7,447.5,12.2,45.0,10,2007
365,Barreiras,26.6,447.5,12.2,45.0,10,2001
366,Barreiras,25.5,447.5,12.2,45.0,2,2014
367,Barreiras,25.5,447.5,12.2,45.0,3,2014
368,Barreiras,25.1,447.5,12.2,45.0,12,2001
369,Barreiras,27.5,447.5,12.2,45.0,11,2014
370,Barreiras,25.2,447.5,12.2,45.0,4,2001
371,Barreiras,24.5,447.5,12.2,45.0,5,2004
372,Barreiras,26.3,447.5,12.2,45.0,2,2013
373,Barreiras,22.6,447.5,12.2,45.0,6,2011
374,Barreiras,25.1,447.5,12.2,45.0,3,2001
375,Barreiras,26.7,447.5,12.2,45.0,9,2006
376,Barreiras,23.7,447.5,12.2,45.0,8,2010
377,Barreiras,24.2,447.5,12.2,45.0,7,2014
378,Barreiras,24.8,447.5,12.2,45.0,12,2018
379,Barreiras,24.8,447.5,12.2,45.0,1,2000
380,Barreiras,25.4,447.5,12.2,45.0,2,2009
381,Barreiras,25.6,447.5,12.2,45.0,2,2005
382,Barreiras,28.4,447.5,12.2,45.0,11,2007
383,Barreiras,26.6,447.5,12.2,45.0,1,2019
384,Barreiras,26.1,447.5,12.2,45.0,12,2006
385,Barreiras,24.8,447.5,12.2,45.0,8,2002
386,Barreiras,25.1,447.5,12.2,45.0,1,2003
387,Barreiras,28.5,447.5,12.2,45.0,10,2008
388,Barreiras,23.6,447.5,12.2,45.0,6,2014
389,Barreiras,24.0,447.5,12.2,45.0,8,2008
390,Barreiras,24.4,447.5,12.2,45.0,3,2008
391,Barreiras,24.9,447.5,12.2,45.0,1,2010
392,Barreiras,25.1,447.5,12.2,45.0,1,2011
393,Barreiras,25.1,447.5,12.2,45.0,3,2007
394,Barreiras,25.9,447.5,12.2,45.0,12,2004
395,Barreiras,26.6,447.5,12.2,45.0,1,2015
396,Barreiras,22.9,447.5,12.2,45.0,7,1999
397,Barreiras,22.0,447.5,12.2,45.0,6,2008
398,Barreiras,23.9,447.5,12.2,45.0,5,2005
399,Barreiras,25.0,447.5,12.2,45.0,4,2004
400,Barreiras,28.0,447.5,12.2,45.0,9,2013
401,Barreiras,24.8,447.5,12.2,45.0,8,2015
402,Barreiras,24.5,447.5,12.2,45.0,3,1999
403,Barreiras,25.0,447.5,12.2,45.0,11,2000
404,Barreiras,25.2,447.5,12.2,45.0,5,2013
405,Barreiras,25.0,447.5,12.2,45.0,2,2018
406,Barreiras,23.7,447.5,12.2,45.0,5,2009
407,Barreiras,25.9,447.5,12.2,45.0,3,2015
408,Barreiras,24.7,447.5,12.2,45.0,4,2018
409,Barreiras,24.6,447.5,12.2,45.0,4,2005
410,Barreiras,24.6,447.5,12.2,45.0,3,2000
411,Barreiras,25.3,447.5,12.2,45.0,8,2018
412,Barreiras,27.4,447.5,12.2,45.0,9,2016
413,Barreiras,27.3,447.5,12.2,45.0,10,2000
414,Barreiras,28.3,447.5,12.2,45.0,10,2010
415,Barreiras,25.3,447.5,12.2,45.0,3,2003
416,Barreiras,23.4,447.5,12.2,45.0,7,2007
417,Barreiras,27.6,447.5,12.2,45.0,9,2003
418,Barreiras,26.2,447.5,12.2,45.0,3,2012
419,Barreiras,26.5,447.5,12.2,45.0,11,2018
420,Barreiras,23.9,447.5,12.2,45.0,8,2004
421,Barreiras,25.0,447.5,12.2,45.0,2,2003
422,Barreiras,23.8,447.5,12.2,45.0,5,2011
423,Barreiras,25.0,447.5,12.2,45.0,1,2004
424,Barreiras,27.4,447.5,12.2,45.0,9,2019
425,Barreiras,23.3,447.5,12.2,45.0,5,2000
426,Barreiras,21.8,447.5,12.2,45.0,7,2006
427,Barreiras,26.7,447.5,12.2,45.0,12,2012
428,Barreiras,24.7,447.5,12.2,45.0,4,2009
429,Barreiras,23.1,447.5,12.2,45.0,7,2001
430,Barreiras,26.8,447.5,12.2,45.0,11,2016
431,Barreiras,25.8,447.5,12.2,45.0,3,2017
432,Barreiras,24.0,447.5,12.2,45.0,6,2017
433,Barreiras,23.6,447.5,12.2,45.0,5,2008
434,Barreiras,27.6,447.5,12.2,45.0,9,2014
435,Barreiras,26.3,447.5,12.2,45.0,12,2016
436,Barreiras,26.4,447.5,12.2,45.0,10,1999
437,Barreiras,26.5,447.5,12.2,45.0,9,2007
438,Barreiras,25.6,447.5,12.2,45.0,4,2017
439,Barreiras,23.3,447.5,12.2,45.0,6,2019
440,Barreiras,27.1,447.5,12.2,45.0,11,2005
441,Barreiras,26.9,447.5,12.2,45.0,2,2016
442,Barreiras,22.4,447.5,12.2,45.0,6,2003
443,Barreiras,25.3,447.5,12.2,45.0,4,2014
444,Barreiras,28.0,447.5,12.2,45.0,12,2015
445,Barreiras,24.5,447.5,12.2,45.0,4,2006
446,Barreiras,24.5,447.5,12.2,45.0,8,2001
447,Barreiras,25.8,447.5,12.2,45.0,8,2016
448,Barreiras,25.0,447.5,12.2,45.0,5,2019
449,Barreiras,25.1,447.5,12.2,45.0,3,2018
450,Barreiras,24.6,447.5,12.2,45.0,6,2013
451,Barreiras,26.4,447.5,12.2,45.0,9,2008
452,Barreiras,26.2,447.5,12.2,45.0,9,2004
453,Barreiras,27.0,447.5,12.2,45.0,10,2011
454,Barreiras,25.1,447.5,12.2,45.0,2,2002
455,Barreiras,23.9,447.5,12.2,45.0,8,2006
456,Barreiras,23.2,447.5,12.2,45.0,6,2005
457,Barreiras,23.1,447.5,12.2,45.0,6,2010
458,Barreiras,24.9,447.5,12.2,45.0,1,2002
459,Barreiras,25.6,447.5,12.2,45.0,1,2008
460,Barreiras,24.7,447.5,12.2,45.0,6,2016
461,Barreiras,22.9,447.5,12.2,45.0,7,2017
462,Barreiras,25.2,447.5,12.2,45.0,12,2010
463,Barreiras,26.4,447.5,12.2,45.0,1,2007
464,Barreiras,24.6,447.5,12.2,45.0,8,2009
465,Barreiras,24.9,447.5,12.2,45.0,11,1999
466,Barreiras,25.8,447.5,12.2,45.0,9,2011
467,Barreiras,22.6,447.5,12.2,45.0,7,2005
468,Barreiras,24.4,447.5,12.2,45.0,7,2015
469,Barreiras,23.6,447.5,12.2,45.0,7,2012
470,Barreiras,25.3,447.5,12.2,45.0,4,2007
471,Barreiras,27.7,447.5,12.2,45.0,9,2009
472,Barreiras,22.6,447.5,12.2,45.0,6,2009
473,Barreiras,22.3,447.5,12.2,45.0,6,2000
474,Barreiras,28.6,447.5,12.2,45.0,10,2019
475,Barreiras,25.5,447.5,12.2,45.0,2,1999
476,Barreiras,25.6,447.5,12.2,45.0,5,2012
477,Barreiras,27.8,447.5,12.2,45.0,10,2016
