CIDADE,TEMPERATURA MÉDIA,ALT(M),LAT (º DEC.),LONG (ºdec),MÊS,ANO,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",3,2002,,,,,
ALAGOINHAS,"24,9","128,8","12,1","38,4",4,2002,,,,,
ALAGOINHAS,"23,6","128,8","12,1","38,4",5,2002,,,,,
ALAGOINHAS,"22,8","128,8","12,1","38,4",6,2002,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",7,2002,,,,,
ALAGOINHAS,"22,1","128,8","12,1","38,4",8,2002,,,,,
ALAGOINHAS,"23,2","128,8","12,1","38,4",9,2002,,,,,
ALAGOINHAS,"24,2","128,8","12,1","38,4",10,2002,,,,,
ALAGOINHAS,"25,1","128,8","12,1","38,4",11,2002,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",12,2002,,,,,
ALAGOINHAS,"27,5","128,8","12,1","38,4",1,2003,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",2,2003,,,,,
ALAGOINHAS,"26,2","128,8","12,1","38,4",3,2003,,,,,
ALAGOINHAS,"25,8","128,8","12,1","38,4",4,2003,,,,,
ALAGOINHAS,"24,5","128,8","12,1","38,4",5,2003,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",6,2003,,,,,
ALAGOINHAS,"21,9","128,8","12,1","38,4",7,2003,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",8,2003,,,,,
ALAGOINHAS,"22,9","128,8","12,1","38,4",9,2003,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",10,2003,,,,,
ALAGOINHAS,"25,0","128,8","12,1","38,4",11,2003,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",12,2003,,,,,
ALAGOINHAS,"25,7","128,8","12,1","38,4",1,2004,,,,,
ALAGOINHAS,"26,0","128,8","12,1","38,4",2,2004,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",3,2004,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",4,2004,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",5,2004,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",6,2004,,,,,
ALAGOINHAS,"21,7","128,8","12,1","38,4",7,2004,,,,,
ALAGOINHAS,"21,8","128,8","12,1","38,4",8,2004,,,,,
ALAGOINHAS,"22,4","128,8","12,1","38,4",9,2004,,,,,
ALAGOINHAS,"24,4","128,8","12,1","38,4",10,2004,,,,,
ALAGOINHAS,"25,7","128,8","12,1","38,4",11,2004,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",12,2004,,,,,
ALAGOINHAS,"27,0","128,8","12,1","38,4",1,2005,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",2,2005,,,,,
ALAGOINHAS,"26,8","128,8","12,1","38,4",3,2005,,,,,
ALAGOINHAS,"25,1","128,8","12,1","38,4",4,2005,,,,,
ALAGOINHAS,"24,1","128,8","12,1","38,4",5,2005,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",6,2005,,,,,
ALAGOINHAS,"21,7","128,8","12,1","38,4",7,2005,,,,,
ALAGOINHAS,"22,2","128,8","12,1","38,4",8,2005,,,,,
ALAGOINHAS,"23,6","128,8","12,1","38,4",9,2005,,,,,
ALAGOINHAS,"24,8","128,8","12,1","38,4",10,2005,,,,,
ALAGOINHAS,"25,8","128,8","12,1","38,4",11,2005,,,,,
ALAGOINHAS,"26,0","128,8","12,1","38,4",12,2005,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",1,2006,,,,,
ALAGOINHAS,"27,8","128,8","12,1","38,4",2,2006,,,,,
ALAGOINHAS,"27,4","128,8","12,1","38,4",3,2006,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",4,2006,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",5,2006,,,,,
ALAGOINHAS,"22,4","128,8","12,1","38,4",6,2006,,,,,
ALAGOINHAS,"21,8","128,8","12,1","38,4",7,2006,,,,,
ALAGOINHAS,"22,3","128,8","12,1","38,4",8,2006,,,,,
ALAGOINHAS,"23,4","128,8","12,1","38,4",9,2006,,,,,
ALAGOINHAS,"24,4","128,8","12,1","38,4",10,2006,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",11,2006,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",12,2006,,,,,
ALAGOINHAS,"27,2","128,8","12,1","38,4",1,2007,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",2,2007,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",3,2007,,,,,
ALAGOINHAS,"25,2","128,8","12,1","38,4",4,2007,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",5,2007,,,,,
ALAGOINHAS,"22,6","128,8","12,1","38,4",6,2007,,,,,
ALAGOINHAS,"22,1","128,8","12,1","38,4",7,2007,,,,,
ALAGOINHAS,"21,6","128,8","12,1","38,4",8,2007,,,,,
ALAGOINHAS,"22,2","128,8","12,1","38,4",9,2007,,,,,
ALAGOINHAS,"23,8","128,8","12,1","38,4",10,2007,,,,,
ALAGOINHAS,"25,6","128,8","12,1","38,4",11,2007,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",12,2007,,,,,
ALAGOINHAS,"26,2","128,8","12,1","38,4",1,2008,,,,,
ALAGOINHAS,"26,7","128,8","12,1","38,4",2,2008,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",3,2008,,,,,
ALAGOINHAS,"25,7","128,8","12,1","38,4",4,2008,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",5,2008,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",6,2008,,,,,
ALAGOINHAS,"21,3","128,8","12,1","38,4",7,2008,,,,,
ALAGOINHAS,"22,0","128,8","12,1","38,4",8,2008,,,,,
ALAGOINHAS,"23,1","128,8","12,1","38,4",9,2008,,,,,
ALAGOINHAS,"24,1","128,8","12,1","38,4",10,2008,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",11,2008,,,,,
ALAGOINHAS,"25,6","128,8","12,1","38,4",12,2008,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",1,2009,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",2,2009,,,,,
ALAGOINHAS,"26,9","128,8","12,1","38,4",3,2009,,,,,
ALAGOINHAS,"25,8","128,8","12,1","38,4",4,2009,,,,,
ALAGOINHAS,"23,7","128,8","12,1","38,4",5,2009,,,,,
ALAGOINHAS,"23,2","128,8","12,1","38,4",6,2009,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",7,2009,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",8,2009,,,,,
ALAGOINHAS,"24,0","128,8","12,1","38,4",9,2009,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",10,2009,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",11,2009,,,,,
ALAGOINHAS,"27,0","128,8","12,1","38,4",12,2009,,,,,
ALAGOINHAS,"26,8","128,8","12,1","38,4",1,2010,,,,,
ALAGOINHAS,"27,1","128,8","12,1","38,4",2,2010,,,,,
ALAGOINHAS,"27,1","128,8","12,1","38,4",3,2010,,,,,
ALAGOINHAS,"25,6","128,8","12,1","38,4",4,2010,,,,,
ALAGOINHAS,"24,8","128,8","12,1","38,4",5,2010,,,,,
ALAGOINHAS,"22,9","128,8","12,1","38,4",6,2010,,,,,
ALAGOINHAS,"22,2","128,8","12,1","38,4",7,2010,,,,,
ALAGOINHAS,"21,6","128,8","12,1","38,4",8,2010,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",9,2010,,,,,
ALAGOINHAS,"25,2","128,8","12,1","38,4",10,2010,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",11,2010,,,,,
ALAGOINHAS,"26,6","128,8","12,1","38,4",12,2010,,,,,
ALAGOINHAS,"25,8","128,8","12,1","38,4",1,2011,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",2,2011,,,,,
ALAGOINHAS,"27,1","128,8","12,1","38,4",3,2011,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",4,2011,,,,,
ALAGOINHAS,"23,6","128,8","12,1","38,4",5,2011,,,,,
ALAGOINHAS,"22,6","128,8","12,1","38,4",6,2011,,,,,
ALAGOINHAS,"21,9","128,8","12,1","38,4",7,2011,,,,,
ALAGOINHAS,"22,3","128,8","12,1","38,4",8,2011,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",9,2011,,,,,
ALAGOINHAS,"24,2","128,8","12,1","38,4",10,2011,,,,,
ALAGOINHAS,"24,1","128,8","12,1","38,4",11,2011,,,,,
ALAGOINHAS,"25,6","128,8","12,1","38,4",12,2011,,,,,
ALAGOINHAS,"26,0","128,8","12,1","38,4",1,2012,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",2,2012,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",3,2012,,,,,
ALAGOINHAS,"25,5","128,8","12,1","38,4",4,2012,,,,,
ALAGOINHAS,"24,4","128,8","12,1","38,4",5,2012,,,,,
ALAGOINHAS,"23,2","128,8","12,1","38,4",6,2012,,,,,
ALAGOINHAS,"22,3","128,8","12,1","38,4",7,2012,,,,,
ALAGOINHAS,"21,9","128,8","12,1","38,4",8,2012,,,,,
ALAGOINHAS,"23,1","128,8","12,1","38,4",9,2012,,,,,
ALAGOINHAS,"24,0","128,8","12,1","38,4",10,2012,,,,,
ALAGOINHAS,"25,7","128,8","12,1","38,4",11,2012,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",12,2012,,,,,
ALAGOINHAS,"26,9","128,8","12,1","38,4",1,2013,,,,,
ALAGOINHAS,"26,8","128,8","12,1","38,4",2,2013,,,,,
ALAGOINHAS,"27,2","128,8","12,1","38,4",3,2013,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",4,2013,,,,,
ALAGOINHAS,"24,4","128,8","12,1","38,4",5,2013,,,,,
ALAGOINHAS,"23,8","128,8","12,1","38,4",6,2013,,,,,
ALAGOINHAS,"22,8","128,8","12,1","38,4",7,2013,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",8,2013,,,,,
ALAGOINHAS,"23,5","128,8","12,1","38,4",9,2013,,,,,
ALAGOINHAS,"24,3","128,8","12,1","38,4",10,2013,,,,,
ALAGOINHAS,"25,0","128,8","12,1","38,4",11,2013,,,,,
ALAGOINHAS,"26,5","128,8","12,1","38,4",12,2013,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",1,2014,,,,,
ALAGOINHAS,"25,7","128,8","12,1","38,4",2,2014,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",3,2014,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",4,2014,,,,,
ALAGOINHAS,"24,5","128,8","12,1","38,4",5,2014,,,,,
ALAGOINHAS,"23,1","128,8","12,1","38,4",6,2014,,,,,
ALAGOINHAS,"22,5","128,8","12,1","38,4",7,2014,,,,,
ALAGOINHAS,"22,1","128,8","12,1","38,4",8,2014,,,,,
ALAGOINHAS,"23,2","128,8","12,1","38,4",9,2014,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",10,2014,,,,,
ALAGOINHAS,"25,0","128,8","12,1","38,4",11,2014,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",12,2014,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",1,2015,,,,,
ALAGOINHAS,"26,5","128,8","12,1","38,4",2,2015,,,,,
ALAGOINHAS,"26,8","128,8","12,1","38,4",3,2015,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",4,2015,,,,,
ALAGOINHAS,"24,6","128,8","12,1","38,4",5,2015,,,,,
ALAGOINHAS,"23,5","128,8","12,1","38,4",6,2015,,,,,
ALAGOINHAS,"22,9","128,8","12,1","38,4",7,2015,,,,,
ALAGOINHAS,"22,2","128,8","12,1","38,4",8,2015,,,,,
ALAGOINHAS,"23,9","128,8","12,1","38,4",9,2015,,,,,
ALAGOINHAS,"24,8","128,8","12,1","38,4",10,2015,,,,,
ALAGOINHAS,"26,8","128,8","12,1","38,4",11,2015,,,,,
ALAGOINHAS,"27,1","128,8","12,1","38,4",12,2015,,,,,
ALAGOINHAS,"26,9","128,8","12,1","38,4",1,2016,,,,,
ALAGOINHAS,"26,8","128,8","12,1","38,4",2,2016,,,,,
ALAGOINHAS,"27,4","128,8","12,1","38,4",3,2016,,,,,
ALAGOINHAS,"26,2","128,8","12,1","38,4",4,2016,,,,,
ALAGOINHAS,"24,7","128,8","12,1","38,4",5,2016,,,,,
ALAGOINHAS,"23,7","128,8","12,1","38,4",6,2016,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",7,2016,,,ALAGOINHAS,BARRA,BARREIRAS
ALAGOINHAS,"23,0","128,8","12,1","38,4",8,2016,,,"24,7","26,9","25,4"
ALAGOINHAS,"23,7","128,8","12,1","38,4",9,2016,,,"25,0","26,1",
ALAGOINHAS,"25,3","128,8","12,1","38,4",10,2016,,,,,
ALAGOINHAS,"26,1","128,8","12,1","38,4",11,2016,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",12,2016,,,,,
ALAGOINHAS,"26,6","128,8","12,1","38,4",1,2017,,,,,
ALAGOINHAS,"26,7","128,8","12,1","38,4",2,2017,,,,,
ALAGOINHAS,"26,7","128,8","12,1","38,4",3,2017,,,,,
ALAGOINHAS,"25,7","128,8","12,1","38,4",4,2017,,,,,
ALAGOINHAS,"24,3","128,8","12,1","38,4",5,2017,,,,,
ALAGOINHAS,"23,3","128,8","12,1","38,4",6,2017,,,,,
ALAGOINHAS,"21,7","128,8","12,1","38,4",7,2017,,,,,
ALAGOINHAS,"22,1","128,8","12,1","38,4",8,2017,,,,,
ALAGOINHAS,"22,4","128,8","12,1","38,4",9,2017,,,,,
ALAGOINHAS,"23,8","128,8","12,1","38,4",10,2017,,,,,
ALAGOINHAS,"25,4","128,8","12,1","38,4",11,2017,,,,,
ALAGOINHAS,"26,3","128,8","12,1","38,4",12,2017,,,,,
ALAGOINHAS,"26,7","128,8","12,1","38,4",1,2018,,,,,
ALAGOINHAS,"26,9","128,8","12,1","38,4",2,2018,,,,,
ALAGOINHAS,"27,0","128,8","12,1","38,4",3,2018,,,,,
ALAGOINHAS,"25,0","128,8","12,1","38,4",4,2018,,,,,
ALAGOINHAS,"24,0","128,8","12,1","38,4",5,2018,,,,,
ALAGOINHAS,"22,9","128,8","12,1","38,4",6,2018,,,,,
ALAGOINHAS,"21,9","128,8","12,1","38,4",7,2018,,,,,
ALAGOINHAS,"22,7","128,8","12,1","38,4",8,2018,,,,,
ALAGOINHAS,"23,4","128,8","12,1","38,4",9,2018,,,,,
ALAGOINHAS,"25,1","128,8","12,1","38,4",10,2018,,,,,
ALAGOINHAS,"25,2","128,8","12,1","38,4",11,2018,,,,,
ALAGOINHAS,"26,2","128,8","12,1","38,4",12,2018,,,,,
ALAGOINHAS,"26,4","128,8","12,1","38,4",1,2019,,,,,
ALAGOINHAS,"28,2","128,8","12,1","38,4",2,2019,,,,,
ALAGOINHAS,"27,2","128,8","12,1","38,4",3,2019,,,,,
ALAGOINHAS,"26,2","128,8","12,1","38,4",4,2019,,,,,
ALAGOINHAS,"25,2","128,8","12,1","38,4",5,2019,,,,,
ALAGOINHAS,"23,1","128,8","12,1","38,4",6,2019,,,,,
ALAGOINHAS,"22,4","128,8","12,1","38,4",7,2019,,,,,
ALAGOINHAS,"22,2","128,8","12,1","38,4",8,2019,,,,,
ALAGOINHAS,"23,1","128,8","12,1","38,4",9,2019,,,,,
ALAGOINHAS,"24,1","128,8","12,1","38,4",10,2019,,,,,
ALAGOINHAS,"25,5","128,8","12,1","38,4",11,2019,,,,,
ALAGOINHAS,"25,9","128,8","12,1","38,4",12,2019,,,,,
BARRA,"27,4","407,5","11,1","43,1",1,1999,,,,,
BARRA,"26,8","407,5","11,1","43,1",2,1999,,,,,
BARRA,"25,7","407,5","11,1","43,1",3,1999,,,,,
BARRA,"27,0","407,5","11,1","43,1",4,1999,,,,,
BARRA,"26,0","407,5","11,1","43,1",5,1999,,,,,
BARRA,"25,7","407,5","11,1","43,1",6,1999,,,,,
BARRA,"24,5","407,5","11,1","43,1",7,1999,,,,,
BARRA,"25,3","407,5","11,1","43,1",8,1999,,,,,
BARRA,"26,9","407,5","11,1","43,1",9,1999,,,,,
BARRA,"26,9","407,5","11,1","43,1",10,1999,,,,,
BARRA,"25,8","407,5","11,1","43,1",11,1999,,,,,
BARRA,"25,5","407,5","11,1","43,1",12,1999,,,,,
BARRA,"26,3","407,5","11,1","43,1",1,2000,,,,,
BARRA,"26,0","407,5","11,1","43,1",2,2000,,,,,
BARRA,"25,8","407,5","11,1","43,1",3,2000,,,,,
BARRA,"26,3","407,5","11,1","43,1",4,2000,,,,,
BARRA,"26,1","407,5","11,1","43,1",5,2000,,,,,
BARRA,"24,9","407,5","11,1","43,1",6,2000,,,,,
BARRA,"24,9","407,5","11,1","43,1",7,2000,,,,,
BARRA,"26,1","407,5","11,1","43,1",8,2000,,,,,
BARRA,"27,0","407,5","11,1","43,1",9,2000,,,,,
BARRA,"28,7","407,5","11,1","43,1",10,2000,,,,,
BARRA,"25,9","407,5","11,1","43,1",11,2000,,,,,
BARRA,"25,6","407,5","11,1","43,1",12,2000,,,,,
BARRA,"25,9","407,5","11,1","43,1",1,2001,,,,,
BARRA,"27,3","407,5","11,1","43,1",2,2001,,,,,
BARRA,"26,4","407,5","11,1","43,1",3,2001,,,,,
BARRA,"26,5","407,5","11,1","43,1",4,2001,,,,,
BARRA,"26,9","407,5","11,1","43,1",5,2001,,,,,
BARRA,"24,9","407,5","11,1","43,1",6,2001,,,,,
BARRA,"25,0","407,5","11,1","43,1",7,2001,,,,,
BARRA,"25,0","407,5","11,1","43,1",8,2001,,,,,
BARRA,"28,0","407,5","11,1","43,1",9,2001,,,,,
BARRA,"28,4","407,5","11,1","43,1",10,2001,,,,,
BARRA,"28,3","407,5","11,1","43,1",11,2001,,,,,
BARRA,"27,4","407,5","11,1","43,1",12,2001,,,,,
BARRA,"25,5","407,5","11,1","43,1",1,2002,,,,,
BARRA,"26,1","407,5","11,1","43,1",2,2002,,,,,
BARRA,"27,2","407,5","11,1","43,1",3,2002,,,,,
BARRA,"26,4","407,5","11,1","43,1",4,2002,,,,,
BARRA,"26,3","407,5","11,1","43,1",5,2002,,,,,
BARRA,"24,8","407,5","11,1","43,1",6,2002,,,,,
BARRA,"25,7","407,5","11,1","43,1",7,2002,,,,,
BARRA,"25,7","407,5","11,1","43,1",8,2002,,,,,
BARRA,"27,5","407,5","11,1","43,1",9,2002,,,,,
BARRA,"29,3","407,5","11,1","43,1",10,2002,,,,,
BARRA,"27,7","407,5","11,1","43,1",11,2002,,,,,
BARRA,"27,3","407,5","11,1","43,1",12,2002,,,,,
BARRA,"26,6","407,5","11,1","43,1",1,2003,,,,,
BARRA,"27,5","407,5","11,1","43,1",2,2003,,,,,
BARRA,"27,5","407,5","11,1","43,1",3,2003,,,,,
BARRA,"27,1","407,5","11,1","43,1",4,2003,,,,,
BARRA,"26,3","407,5","11,1","43,1",5,2003,,,,,
BARRA,"24,9","407,5","11,1","43,1",6,2003,,,,,
BARRA,"24,5","407,5","11,1","43,1",7,2003,,,,,
BARRA,"26,5","407,5","11,1","43,1",8,2003,,,,,
BARRA,"27,6","407,5","11,1","43,1",9,2003,,,,,
BARRA,"29,3","407,5","11,1","43,1",10,2003,,,,,
BARRA,"28,8","407,5","11,1","43,1",11,2003,,,,,
BARRA,"30,0","407,5","11,1","43,1",12,2003,,,,,
BARRA,"25,7","407,5","11,1","43,1",1,2004,,,,,
BARRA,"25,8","407,5","11,1","43,1",2,2004,,,,,
BARRA,"25,6","407,5","11,1","43,1",3,2004,,,,,
BARRA,"26,2","407,5","11,1","43,1",4,2004,,,,,
BARRA,"25,7","407,5","11,1","43,1",5,2004,,,,,
BARRA,"24,2","407,5","11,1","43,1",6,2004,,,,,
BARRA,"24,1","407,5","11,1","43,1",7,2004,,,,,
BARRA,"25,7","407,5","11,1","43,1",8,2004,,,,,
BARRA,"26,8","407,5","11,1","43,1",9,2004,,,,,
BARRA,"28,5","407,5","11,1","43,1",10,2004,,,,,
BARRA,"28,2","407,5","11,1","43,1",11,2004,,,,,
BARRA,"28,0","407,5","11,1","43,1",12,2004,,,,,
BARRA,"26,6","407,5","11,1","43,1",1,2005,,,,,
BARRA,"26,1","407,5","11,1","43,1",2,2005,,,,,
BARRA,"26,5","407,5","11,1","43,1",3,2005,,,,,
BARRA,"26,1","407,5","11,1","43,1",4,2005,,,,,
BARRA,"24,8","407,5","11,1","43,1",5,2005,,,,,
BARRA,"24,8","407,5","11,1","43,1",6,2005,,,,,
BARRA,"24,6","407,5","11,1","43,1",7,2005,,,,,
BARRA,"26,0","407,5","11,1","43,1",8,2005,,,,,
BARRA,"27,8","407,5","11,1","43,1",9,2005,,,,,
BARRA,"29,3","407,5","11,1","43,1",10,2005,,,,,
BARRA,"27,9","407,5","11,1","43,1",11,2005,,,,,
BARRA,"26,6","407,5","11,1","43,1",12,2005,,,,,
BARRA,"28,8","407,5","11,1","43,1",1,2006,,,,,
BARRA,"27,8","407,5","11,1","43,1",2,2006,,,,,
BARRA,"26,2","407,5","11,1","43,1",3,2006,,,,,
BARRA,"25,3","407,5","11,1","43,1",4,2006,,,,,
BARRA,"25,0","407,5","11,1","43,1",5,2006,,,,,
BARRA,"23,5","407,5","11,1","43,1",6,2006,,,,,
BARRA,"24,0","407,5","11,1","43,1",7,2006,,,,,
BARRA,"25,7","407,5","11,1","43,1",8,2006,,,,,
BARRA,"27,7","407,5","11,1","43,1",9,2006,,,,,
BARRA,"28,2","407,5","11,1","43,1",10,2006,,,,,
BARRA,"26,8","407,5","11,1","43,1",11,2006,,,,,
BARRA,"27,5","407,5","11,1","43,1",12,2006,,,,,
BARRA,"28,4","407,5","11,1","43,1",1,2007,,,,,
BARRA,"25,6","407,5","11,1","43,1",2,2007,,,,,
BARRA,"26,7","407,5","11,1","43,1",3,2007,,,,,
BARRA,"27,0","407,5","11,1","43,1",4,2007,,,,,
BARRA,"26,1","407,5","11,1","43,1",5,2007,,,,,
BARRA,"24,5","407,5","11,1","43,1",6,2007,,,,,
BARRA,"25,1","407,5","11,1","43,1",7,2007,,,,,
BARRA,"24,8","407,5","11,1","43,1",8,2007,,,,,
BARRA,"26,6","407,5","11,1","43,1",9,2007,,,,,
BARRA,"28,7","407,5","11,1","43,1",10,2007,,,,,
BARRA,"28,7","407,5","11,1","43,1",11,2007,,,,,
BARRA,"26,8","407,5","11,1","43,1",12,2007,,,,,
BARRA,"27,6","407,5","11,1","43,1",1,2008,,,,,
BARRA,"26,9","407,5","11,1","43,1",2,2008,,,,,
BARRA,"25,9","407,5","11,1","43,1",3,2008,,,,,
BARRA,"25,5","407,5","11,1","43,1",4,2008,,,,,
BARRA,"25,4","407,5","11,1","43,1",5,2008,,,,,
BARRA,"23,6","407,5","11,1","43,1",6,2008,,,,,
BARRA,"23,4","407,5","11,1","43,1",7,2008,,,,,
BARRA,"25,2","407,5","11,1","43,1",8,2008,,,,,
BARRA,"27,8","407,5","11,1","43,1",9,2008,,,,,
BARRA,"29,3","407,5","11,1","43,1",10,2008,,,,,
BARRA,"28,6","407,5","11,1","43,1",11,2008,,,,,
BARRA,"26,1","407,5","11,1","43,1",12,2008,,,,,
BARRA,"27,0","407,5","11,1","43,1",1,2009,,,,,
BARRA,"27,2","407,5","11,1","43,1",2,2009,,,,,
BARRA,"26,9","407,5","11,1","43,1",3,2009,,,,,
BARRA,"25,7","407,5","11,1","43,1",4,2009,,,,,
BARRA,"25,1","407,5","11,1","43,1",5,2009,,,,,
BARRA,"24,5","407,5","11,1","43,1",6,2009,,,,,
BARRA,"24,8","407,5","11,1","43,1",7,2009,,,,,
BARRA,"26,0","407,5","11,1","43,1",8,2009,,,,,
BARRA,"28,8","407,5","11,1","43,1",9,2009,,,,,
BARRA,"28,2","407,5","11,1","43,1",10,2009,,,,,
BARRA,"28,4","407,5","11,1","43,1",11,2009,,,,,
BARRA,"26,6","407,5","11,1","43,1",12,2009,,,,,
BARRA,"27,1","407,5","11,1","43,1",1,2010,,,,,
BARRA,"28,3","407,5","11,1","43,1",2,2010,,,,,
BARRA,"26,9","407,5","11,1","43,1",3,2010,,,,,
BARRA,"26,4","407,5","11,1","43,1",4,2010,,,,,
BARRA,"27,0","407,5","11,1","43,1",5,2010,,,,,
BARRA,"26,0","407,5","11,1","43,1",6,2010,,,,,
BARRA,"24,9","407,5","11,1","43,1",7,2010,,,,,
BARRA,"25,1","407,5","11,1","43,1",8,2010,,,,,
BARRA,"27,3","407,5","11,1","43,1",9,2010,,,,,
